,ImageName,app1,app2,Advantra,MOST,EnsembleNeuronTracerBasic,meanshift,TreMap,MST_Tracing,EnsembleNeuronTracerV2n,spanningtree,axis_analyzer,Rayshooting,smartTracing,simple,EnsembleNeuronTracerV2s
67,E:\result\0664_seg.v3dpbd\gold\749_310_285_gold.tiff,-1,-1,-1,0.10975609756097561,0.2579787234042553,0.10123456790123457,-1,0.0,0.0,-1,0.07307692307692308,0.16323907455012854,0.08067226890756303,0.15629742033383914,0.2579787234042553
68,E:\result\0664_seg.v3dpbd\gold\804_310_201_gold.tiff,-1,-1,-1,0.35142396560988715,0.49448867115737904,0.24541977048520233,-1,0.0,0.0,-1,0.37467751538003574,0.28880718954248363,0.31181199752628325,0.26763580719204283,0.49448867115737904
69,E:\result\0664_seg.v3dpbd\gold\808_182_208_gold.tiff,-1,-1,-1,0.2835609985869053,0.47371900826446284,0.18740818467995804,-1,0.0,0.0,-1,0.22496776966050708,0.17301087578706353,0.2106423636630898,0.18658667897246578,0.47371900826446284
70,E:\result\0664_seg.v3dpbd\gold\810_262_189_gold.tiff,-1,-1,-1,0.32160566706021254,0.5013871763255241,0.2404291123264619,-1,0.0,0.0,-1,0.30988807885819897,0.23933048329831172,0.2680771104460992,0.23042366973898226,0.5013871763255241
71,E:\result\0664_seg.v3dpbd\gold\810_310_176_gold.tiff,-1,-1,-1,0.33378995433789954,0.47295805739514346,0.24162223914699163,-1,0.0,0.0,-1,0.36499370390357977,0.28083989501312334,0.305848623853211,0.2634645445502345,0.47295805739514346
72,E:\result\0664_seg.v3dpbd\gold\837_224_216_gold.tiff,-1,-1,-1,0.32116788321167883,0.4782944240787189,0.17160587639311042,-1,0.0,0.0,-1,0.28123973277844705,0.2193230470958882,0.24819855884707767,0.21884968583856937,0.4782944240787189
73,E:\result\0664_seg.v3dpbd\gold\876_96_155_gold.tiff,-1,-1,-1,0.20428134556574923,0.31596638655462184,0.13120567375886524,-1,0.0,0.0,-1,0.1846085409252669,0.17862595419847327,0.1842014487754398,0.15500945179584122,0.31596638655462184
74,E:\result\0664_seg.v3dpbd\gold\886_149_132_gold.tiff,-1,-1,-1,0.27350044762757386,0.3434343434343434,0.17475360121304018,-1,0.0,0.0,-1,0.23885665770482525,0.18991317199334934,0.22260756475560853,0.19418066715364013,0.3434343434343434
75,E:\result\0664_seg.v3dpbd\gold\898_277_155_gold.tiff,-1,-1,-1,0.34559884559884557,0.44357976653696496,0.20349619004930525,-1,0.0,0.0,-1,0.29769194536033916,0.22622643474638057,0.25341296928327645,0.23319977103606182,0.44357976653696496
76,E:\result\0664_seg.v3dpbd\gold\936_201_177_gold.tiff,-1,-1,-1,0.3191148171905067,0.3508591065292096,0.15337423312883436,-1,0.0,0.0,-1,0.2567757831749384,0.2039267646350277,0.23739081431389122,0.20483924428239975,0.3508591065292096
77,E:\result\0664_seg.v3dpbd\gold\938_242_126_gold.tiff,-1,-1,-1,0.2786259541984733,0.27844782380702676,0.13766919775503467,-1,0.0,0.0,-1,0.2729522395446672,0.20210651828298887,0.2231686541737649,0.2127501853224611,0.27844782380702676
78,E:\result\0664_seg.v3dpbd\gold\938_277_188_gold.tiff,-1,-1,-1,0.29779837775202783,0.39366786140979687,0.17511147142278072,-1,0.0,0.0,-1,0.3142068119054925,0.24761637689287716,0.26372524442216094,0.2834964562942963,0.39366786140979687
79,E:\result\0664_seg.v3dpbd\gold\965_191_166_gold.tiff,-1,-1,-1,0.2634943181818182,0.20087719298245615,0.14002828854314003,-1,0.0,0.0,-1,0.19733750978856696,0.16045689420723416,0.17968488099228963,0.16279069767441862,0.20087719298245615
80,E:\result\080926a.tif.v3dpbd\gold\1005_755_27_gold.tiff,-1,-1,-1,0.38122605363984674,-1.0,-1.0,-1,-1.0,0.15659955257270694,-1,-1.0,0.0,-1.0,-1.0,0.08986731001206273
81,E:\result\080926a.tif.v3dpbd\gold\1005_777_27_gold.tiff,-1,-1,-1,0.35103244837758113,-1.0,-1.0,-1,-1.0,0.1568627450980392,-1,-1.0,0.0,-1.0,-1.0,0.1122920517560074
82,E:\result\080926a.tif.v3dpbd\gold\1006_1309_27_gold.tiff,-1,-1,-1,0.2875816993464052,-1.0,-1.0,-1,-1.0,0.17735334242837653,-1,-1.0,0.0,-1.0,-1.0,0.1409646739130435
83,E:\result\080926a.tif.v3dpbd\gold\1008_905_27_gold.tiff,-1,-1,-1,0.23166926677067082,-1.0,-1.0,-1,-1.0,0.08274091627172196,-1,-1.0,0.0,-1.0,-1.0,0.0782122905027933
84,E:\result\080926a.tif.v3dpbd\gold\1008_930_27_gold.tiff,-1,-1,-1,0.29110512129380056,-1.0,-1.0,-1,-1.0,0.10429019881409138,-1,-1.0,0.0,-1.0,-1.0,0.06466876971608833
85,E:\result\080926a.tif.v3dpbd\gold\1010_421_27_gold.tiff,-1,-1,-1,0.2673469387755102,-1.0,-1.0,-1,-1.0,0.18613138686131386,-1,-1.0,0.0,-1.0,-1.0,0.14099347717009533
86,E:\result\080926a.tif.v3dpbd\gold\1011_1063_27_gold.tiff,-1,-1,-1,0.38766233766233765,-1.0,-1.0,-1,-1.0,0.08294314381270904,-1,-1.0,0.0,-1.0,-1.0,0.048506510084248146
87,E:\result\080926a.tif.v3dpbd\gold\1012_1408_27_gold.tiff,-1,-1,-1,0.23769100169779286,-1.0,-1.0,-1,-1.0,0.13197424892703863,-1,-1.0,0.0,-1.0,-1.0,0.10019973368841545
88,E:\result\080926a.tif.v3dpbd\gold\1016_1379_27_gold.tiff,-1,-1,-1,0.2966321243523316,-1.0,-1.0,-1,-1.0,0.10635619886721208,-1,-1.0,0.0,-1.0,-1.0,0.08429018789144051
89,E:\result\080926a.tif.v3dpbd\gold\1038_648_27_gold.tiff,-1,-1,-1,0.3693181818181818,-1.0,-1.0,-1,-1.0,0.3732193732193732,-1,-1.0,0.0,-1.0,-1.0,0.2580037664783427
90,E:\result\080926a.tif.v3dpbd\gold\1057_1522_27_gold.tiff,-1,-1,-1,0.2642369020501139,-1.0,-1.0,-1,-1.0,0.0851697438951757,-1,-1.0,0.0,-1.0,-1.0,0.07762402969962875
91,E:\result\080926a.tif.v3dpbd\gold\1058_1437_27_gold.tiff,-1,-1,-1,0.23125996810207336,-1.0,-1.0,-1,-1.0,0.18445772843723313,-1,-1.0,0.0,-1.0,-1.0,0.07566902491541064
92,E:\result\080926a.tif.v3dpbd\gold\106_841_27_gold.tiff,-1,-1,-1,0.35294117647058826,-1.0,-1.0,-1,-1.0,0.0,-1,-1.0,0.0,-1.0,-1.0,0.195822454308094
93,E:\result\080926a.tif.v3dpbd\gold\1074_1091_27_gold.tiff,-1,-1,-1,0.20806100217864923,-1.0,-1.0,-1,-1.0,0.059034210201309126,-1,-1.0,0.0,-1.0,-1.0,0.05977150639328138
