name        y_n    ratio(x/y)    overlap_level    count    grey_std    overlap_all
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/26/marker107.marker_color.txt     1   0.857143   0.276786   243   1.61178    0.0394737
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/26/marker108.marker_color.txt     1   0.608696   0.324534   209   0.866716    0.324534
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/26/marker122.marker_color.txt     1   0.954545   0.307359   2308   11.2293    0.0050026
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/26/marker13.marker_color.txt     1   0.625   0.5125   86   4.18825    0.099537
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/26/marker140.marker_color.txt     1   0.714286   0.435714   235   5.39776    0.0953734
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/26/marker143.marker_color.txt     1   1   0.513889   87   0.717148    0.0659091
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/26/marker171.marker_color.txt     1   0.568627   0.251859   3147   9.99126    0.00996391
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/26/marker204.marker_color.txt     1   0.666667   0.21963   3943   8.77855    0.00971929
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/26/marker271.marker_color.txt     1   0.5   0.537037   314   5.11376    0.198232
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/26/marker289.marker_color.txt     1   1   0.397959   156   0.992528    0.397959
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/26/marker295.marker_color.txt     1   0.8   0.311111   113   2.35891    0.209259
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/26/marker308.marker_color.txt     1   0.5   0.558594   157   7.94253    0.307843
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/26/marker328.marker_color.txt     1   0.75   0.619792   1446   15.3479    0.0966578
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/26/marker40.marker_color.txt     1   0.636364   0.454545   204   6.205    0.0770975
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/26/marker89.marker_color.txt     1   0.555556   0.422222   100   1.47381    0.0452899
